#lat,lon,name
0.674,23.473,Apollo_11_Tranquility_Base
-3.013,-23.422,Apollo_12_Ocean_of_Storms
-3.646,-17.472,Apollo_14_Fra_Mauro
26.132,3.633,Apollo_15_Hadley_Rille
-8.973,15.501,Apollo_16_Descartes_Highlands
20.191,30.772,Apollo_17_Taurus_Littrow
-43.300,-11.220,Tycho_Crater
9.700,-20.100,Copernicus_Crater
-17.600,-40.100,Gassendi_Crater
11.450,26.280,Theophilus_Crater
0.674,23.473,Statio_Tranquillitatis
-38.238,-30.510,Luna_17_Lunokhod_1
-0.514,56.360,Luna_16_Mare_Fecunditatis
38.315,-35.000,Lunokhod_1_Rover
13.330,25.230,SLIM_Mission_Shioli_Crater
-69.370,32.320,Chandrayaan_3_Shiv_Shakti_Point
10.000,-23.100,Mare_Cognitum
22.600,67.700,Mare_Anguis
